г Москва;п Курилово;51.706219,39.271129;ЖК "Берег";ООО Капитал Строй;3662175223;Суворова 122А;д. 122А;36:34:0105010:18;Сергеева Е.С.;1849;1;В городе воронеж;;srednerusskiy
г Москва;;55.496979,37.320170;ЖК "Изумрудный";ООО Изумрудная;7725813207;г.Москва, СВАО, Лосиноостровский р-нул. Изумрудная, владение 65;вл. 65;50:54:0020205:1;Смородская;5949;1;;;srednerusskiy
г Москва;г Щербинка;55.50383037586815,37.53699814921523;ЖК "Прима-парк";ООО Энко Инвест;7709758950;г. Москва , г. Щербинка, м - Барыши, 42;д.42;50:61:0000000:11;Артемова О.А.;5477;1;;;srednerusskiy
г Москва;д Ширяево;55.505463,37.244296;ЖК "Ширяевские усадьбы";ООО Деревня Простоквашино;5030053418;Москва, пос.Первомайское, деревня Ширяево, к. 1;к. 1;50:26:0191012:1;Шинкаренко О.С.;2987;1;;;srednerusskiy
г Москва;д Десна;55.516291,37.355264;ЖК "Новые ватутинки";ООО Инвесттраст;7730567081;г. Москва пос Десеновское , вблизи д Десна уч 50/12 к. 20/1;к. 20/1;77:17:0140116:3311;Казакова Н.Д.;6124;1;;;srednerusskiy
г Москва;д Язово;55.525168,37.5050485;г. Москва, пос Воскресенское, дер. Язово;ЗАО Язовская Слобода инвест;5003050295;г. Москва, пос Воскресенское, дер. Язово;д. 14;77:00:0000000:71271;Казакова Н.Д.;2702;1;;;srednerusskiy
г Москва;п Коммунарка;55.564763,37.499930;ЖК "Скандинавия";ООО А101;7729741024;г. Москва, НАО, п.Сосенское, пос. Коммунарка, к.17, д. 1;д. 1;50:21:0000000:888;Смородская;6923;1;;;srednerusskiy
г Москва;п Газопровод;55.568285,37.489830;ЖК "Москва а101";ПАО Авгур Эстейт;7731041421;г. Москва, НАО, поселение Сосенское, пос. Газопровод, к. №№ 15, 16, 17 (3-я очередь, 2 пусковой комплекс);к. 15;50:21:0120316:1374;Казакова Н.Д.;6154;1;;;srednerusskiy
г Москва;п Газопровод;55.577313,37.479813;ЖК "Новая звезда";ООО ГСД;7727750873;г.Москва, п.Сосенское, в районе п. Газопровод;к.1;77:17:0000000:9640;Смородская;5974;1;;;srednerusskiy
г Москва;п Крекшино;55.58442583818415,37.12701130212386;ЖК "Медовая долина";ООО Логитек;5030059699;Москва, п. марушкинское, ЗАО "Крешкино", д1-3;д. 1;50:26:0170215:35;Евстратова К.Н.;2999;1;;;srednerusskiy
г Москва;д Рассказовка;55.636274,37.314479;ЖК "Переделкино ближнее";ООО ОЛЕТА;5018092940;Москва, НАО, поселение Внуковское, д. Рассказовка, КВ 7, ПОЗ. ПО СПОЗУ 2;д. 2;50 :21 :100211 :677;Шинкаренко О.С.;2843;1;;;srednerusskiy
г Москва;;55.661246,37.414324;ЖК "Мещерский лес";АО ПИК-Индустрия;7729755852;Москва , ЗАО, Солнцево, Боровское шоссе, вл 2, к. 2.2;к. 2.2;77:07:0000000:4864;Казакова Н.Д.;6117;1;;;srednerusskiy
г Москва;;55.671434,37.611440;ЖК "Вершинино";АО Котельский завод;7726054520;г. Москва, ЮАО, Нагорный р-н, Электролитный проезд, вл. 16;к. 1;77:05:0003002:22;Смородская;5956;1;;;srednerusskiy
г Москва;;55.682719,37.695763;ЖК "Ривер парк";ООО Речников Инвест";7725682120;Москва, ЮАО, р-н Нагатинский затон, ул. Речников, вл. 7, стр. 2,2а,3,6,8-10,13,16,18,23-26,31,45,50,54,55;к.1;75:05:0004011:2276;Евстратова К.Н.;5909;1;;;srednerusskiy
г Москва;;55.690143,37.657558;ЖК "Технопарк";ООО Инвестиционные Перспективы;7804375179;г. Москва, р-нДаниловский, ул. Автозаводская, стр. 931,982,638, к.1, к.2, к.3, к.4, к.5;к. 1;9,042395833;;6370;1;;;srednerusskiy
